code,name
"1","Sin garantía"
"2","Inmueble"
"3","Vehículo terrestre"
"4","Vehículo aéreo"
"5","Vehículo marítimo"
"6","Priedras Preciosas"
"7","Metales Preciosos"
"8","Joyas o relojes"
"9","Obras de arte o antigüedades"
"10","Acciones o partes sociales"
"11","Derechos fiduciarios"
"12","Derechos de crédito"
"15","Garantía Quirografaria"
"99","Otro (Especificar)"
