code,name
"1","Casa /Casa en condominio"
"2","Departamento"
"3","Edificio habitacional"
"4","Edificio comercial"
"5","Edificio oficinas"
"6","Local comercial independiente"
"7","Local en centro comercial"
"8","Oficina"
"9","Bodega comercial"
"10","Bodega industrial"
"11","Nave Industrial"
"12","Terreno urbano habitacional"
"13","Terreno no urbano habitacional"
"14","Terreno urbano comercial o industrial"
"15","Terreno no urbano comercial o industrial"
"16","Terreno ejidal"
"17","Rancho/Hacienda/Quinta"
"18","Huerta"
"99","Otro"
